dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,loan_inci_expn,erly_rpay_fee,dly_rate,loan_lmt,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0013909,0300326201001,주식회사 하나은행,우량주택전세론,영업점,"1. 인지세 : 50%
2. 질권설정통지비용 : 30,000원","중도상환금액 × 중도상환해약금률 0.59% × ( 대출잔여일수 ÷ 대출기간* )
* 대출약정일로부터 최장 3년",적용금리+3% ( 최고 15% ),500백만원,20260420,,202604161358
202604,0013909,0300373201001,주식회사 하나은행,하나전세금안심대출,영업점,"1. 인지세 : 50%
2. 보증료","중도상환금액 × 중도상환해약금률 0.59% × ( 대출잔여일수 ÷ 대출기간* )
* 대출약정일로부터 최장 3년",적용금리+3% ( 최고 15% ),400백만원,20260420,,202604161358
202604,0014674,01021000700000000001,주식회사 케이뱅크,전월세보증금 대출,스마트폰,"- 인지세 : 해당세액의 50%(대출금액 5천만원 미만시 없음)
-주택금융신용보증료",없음,"적용금리+3% (최고 15%) 
단, 대출이자가 연 15% 이상인 경우 연체이자 2%를 가산",440백만원,20260420,20260520,202604151427
202604,0014674,01021000700000000003,주식회사 케이뱅크,고정금리 전월세보증금 대출,스마트폰,"- 인지세 : 해당세액의 50%(대출금액 5천만원 미만시 없음)
-주택금융신용보증료",없음,"적용금리+3% (최고 15%) 
단, 대출이자가 연 15% 이상인 경우 연체이자 2%를 가산",200백만원,20260420,20260520,202604151427
202604,0014807,1130,수협은행,공공주택임차보증금담보대출,"영업점,모집인",1. 인지세 : 해당세액의 50%,"중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간)

* 취급 후 3년 이내 0.05%","대출금리+연3%
(최고:연15%)",최대 5억원,20260417,,202604161309
202604,0014807,1151,수협은행,Sh전세보증대출(주택금융공사),"영업점,모집인","1. 인지세 : 해당세액의 50%

2. 주택신보보증료","중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간)

* 취급 후 3년 이내 0.05%","대출금리+연3%
(최고:연15%)",최대 4.44억원,20260417,,202604161309
202604,0014807,1170,수협은행,Sh전세보증대출(서울보증보험),"영업점,모집인","1. 인지세 : 해당세액의 50%

2. 질권설정에 대한 통지비용 : 40,000원","중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간)

* 취급 후 3년 이내 0.05%","대출금리+연3%
(최고:연15%)",최대 5억원,20260417,,202604161309
202604,0014807,1188,수협은행,Sh전세금안심대출,"영업점,모집인","1. 인지세 : 해당세액의 50%

2. 주택신보보증료","중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간)

* 취급 후 3년 이내 0.05%","대출금리+연3%
(최고:연15%)",최대 4.5억원,20260417,,202604161309
202604,0015130,30040004,주식회사 카카오뱅크,HF 전월세보증금 대출,스마트폰,"- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 주택금융신용보증료",없음,"대출금리+3%
(연체대출최고금리:15%)",최대 444백만원,20260417,,202604170944
202604,0015130,30270004,주식회사 카카오뱅크,SGI 전월세보증금 대출,스마트폰,- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음),없음,"대출금리+3%
(연체대출최고금리:15%)",최대 500백만원,20260417,,202604170944
202604,0017801,2001040010021,토스뱅크 주식회사,전월세보증금대출 플러스,스마트폰,"1. 인지세
  - 해당 세액의 50%
2. 주택금융신용보증료",없음,"대출금리+연3% ※연체금리최고율은 연15%이며, 대출금리가 연15% 이상인 경우 대출금리+연2% 적용","최대 4억 4,000만원",20260416,,202604161009
