dcls_month,fin_co_no,fin_prdt_cd,crdt_prdt_type,kor_co_nm,fin_prdt_nm,join_way,cb_name,crdt_prdt_type_nm,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0010030,1,1,한국산업은행,개인신용대출(신규대출취급중단),영업점,KCB,일반신용대출,20260416,,202604161941
202604,0010030,2,2,한국산업은행,개인신용대출,영업점,KCB,마이너스한도대출,20260416,,202604161941
202604,0010927,KB200200000001,1,국민은행,일반신용대출,"영업점,인터넷,스마트폰",KCB,일반신용대출,20260420,,202604161301
202604,0010927,KB200200000002,2,국민은행,마이너스한도대출,"영업점,인터넷,스마트폰",KCB,마이너스한도대출,20260420,,202604161301
202604,0011625,CR0001A,1,신한은행,개인신용대출(일반신용대출),"영업점,인터넷,스마트폰",KCB,일반신용대출,20260416,,202604161554
202604,0011625,CR0001C,2,신한은행,개인신용대출(마이너스한도대출),"영업점,인터넷,스마트폰",KCB,마이너스한도대출,20260416,,202604161554
202604,0013175,CR0001A,1,농협은행주식회사,가계신용대출(일반),영업점,KCB,일반신용대출,20260420,,202604171419
202604,0013175,CR0001B,2,농협은행주식회사,가계신용대출(마이너스대출),영업점,KCB,마이너스한도대출,20260420,,202604171419
202604,0013175,WR0002F,3,농협은행주식회사,장기카드대출,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",KCB,장기카드대출(카드론),20260421,,202604101025
202604,0013909,1,1,주식회사 하나은행,일반신용대출,"영업점,인터넷,스마트폰",KCB,일반신용대출,20260420,,202604161426
202604,0013909,3,2,주식회사 하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",KCB,마이너스한도대출,20260420,,202604161426
202604,0014674,010200010000000001,1,주식회사 케이뱅크,신용대출,스마트폰,KCB,일반신용대출,20260420,20260520,202604151423
202604,0014674,010200040000000001,2,주식회사 케이뱅크,마이너스 통장 대출,스마트폰,KCB,마이너스한도대출,20260420,20260520,202604151423
202604,0014807,601,1,수협은행,개인신용대출,"영업점,인터넷,스마트폰",KCB,일반신용대출,20260417,,202604161310
202604,0014807,804,2,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",KCB,마이너스한도대출,20260417,,202604161310
202604,0015130,030020001,1,주식회사 카카오뱅크,일반신용대출,스마트폰,KCB,일반신용대출,20260417,,202604170949
202604,0015130,030020003,2,주식회사 카카오뱅크,마이너스한도대출,스마트폰,KCB,마이너스한도대출,20260417,,202604170949
202604,0017801,20-01-03-021-0001,2,토스뱅크 주식회사,토스뱅크 마이너스 통장대출,스마트폰,KCB,마이너스한도대출,20260416,,202604151347
202604,0017801,20-01-03-311-0001,1,토스뱅크 주식회사,토스뱅크 신용대출,스마트폰,KCB,일반신용대출,20260416,,202604151347
